"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"202244_at",0.512986333333334,10.2683141,5.81737348761254,4.13936547662478e-07,6.13689161115303e-06,6.1071550144321,"PSMB4"
"208799_at",0.485503499999997,9.2304801,4.47892269525792,4.33873503895197e-05,0.000312475865782052,1.58712404960093,"PSMB5"
"208827_at",0.0807281999999976,9.24457522,0.906304661391517,0.36910030358246,0.49441912021208,-6.51217883258916,"PSMB6"
"200786_at",0.0489867999999962,9.10163368,0.527773487174296,0.599979556186298,0.701545072702906,-6.78337989984446,"PSMB7"
"209040_s_at",-0.174682850000002,8.82336894,-1.19241124322916,0.238700859699173,0.358929162337316,-6.21556438029924,"PSMB8"
"204279_at",-0.568141383333334,8.82296812,-2.90383654680094,0.00546447709530551,0.0177603475954919,-2.98935446500436,"PSMB9"
"204219_s_at",0.356708533333336,9.83039752,4.2999269905172,7.85860643940277e-05,0.00051564584007424,1.01552110525791,"PSMC1"
"201068_s_at",0.300785316666666,9.31530104,2.94106156671523,0.00493500543354428,0.0163373534505522,-2.89557250760294,"PSMC2"
"201267_s_at",0.021933283333329,8.57564042,0.19474936706771,0.846374461306969,0.893658174815352,-6.90453315643681,"PSMC3"
"205956_x_at",0.103902833333325,7.7493625,2.46770540332744,0.0170468239915627,0.0449797962112484,-4.02199685587966,"PSMC3IP"
"201252_at",0.233497933333329,7.53103766,2.4326286890797,0.0185919391926064,0.048320976936984,-4.09946467335843,"PSMC4"
"209503_s_at",0.232288549999998,9.26151488,3.03489739675092,0.00380488809831127,0.013233076556059,-2.65547416708914,"PSMC5"
"201699_at",0.306316599999998,7.85341526,2.51775193560904,0.0150429107733413,0.0406085698562077,-3.90997180352843,"PSMC6"
"201198_s_at",0.36322253333333,8.45905332,3.54545076964361,0.000858597441346808,0.00383716943151442,-1.26328805856076,"PSMD1"
"219485_s_at",0.325041499999998,8.4101488,2.89019650060502,0.00567137087359521,0.0183125861724854,-3.02350620968737,"PSMD10"
"208776_at",-0.35034576666667,7.36126304,-4.51268858898795,3.87505376237577e-05,0.000283852146571398,1.69607175944238,"PSMD11"
"202353_s_at",-0.224943183333334,7.81786164,-2.46528880594052,0.0171494315118536,0.0451703052457015,-4.02736183028718,"PSMD12"
"201232_s_at",0.376537299999995,8.17206238,3.89114552192552,0.00029429873569659,0.00157413795667958,-0.247948474103968,"PSMD13"
"212296_at",0.458673966666662,9.21771828,3.75811279205398,0.000446767848392904,0.00222018910921924,-0.644937884384552,"PSMD14"
"200830_at",0.247789599999997,8.95946066,2.94301517413325,0.00490858297929271,0.0162667987102289,-2.890627489884,"PSMD2"
"201388_at",0.452363366666665,7.72979172,4.35758450441255,6.49629260327922e-05,0.000438607653504312,1.19852155345836,"PSMD3"
"200882_s_at",0.571853149999995,9.05527974,6.40852147247981,4.9555497394131e-08,1.02339680114312e-06,8.18517626593119,"PSMD4"
"203447_at",0.162221316666669,7.87580644,2.00169788033669,0.0507309554626612,0.107792088969664,-4.97718531202988,"PSMD5"
"202753_at",-0.226850483333337,9.16704376,-3.3399898587777,0.00158553066205889,0.0063773248632957,-1.84011221554268,"PSMD6"
"201705_at",0.264982199999995,8.40716542,2.75639086088335,0.00812323838892069,0.0246406372202995,-3.3523717402011,"PSMD7"
"200820_at",0.00447873333333249,9.07016894,0.0477362918553694,0.962115643656134,0.973960698145994,-6.92253231234013,"PSMD8"
"209334_s_at",-0.0986591666666712,6.0918042,-1.99416801388448,0.0515740649022342,0.109293855274987,-4.99125411143356,"PSMD9"
"200814_at",-0.0807203500000018,10.54612134,-0.853595774754495,0.397380044552462,0.521915568358041,-6.55831554135022,"PSME1"
"209852_x_at",0.309882350000001,8.40545626,4.26004370086307,8.95971366054953e-05,0.000574695738336284,0.889583999824349,"PSME3"
"212220_at",0.3636722,5.82585852,4.03476375852171,0.000186212050401685,0.0010664001848113,0.188785646771459,"PSME4"
"201053_s_at",-0.413137466666671,7.29714502,-4.27703486743769,8.4733951699841e-05,0.000547441764490448,0.943170140569472,"PSMF1"
"203405_at",0.285265666666664,6.0170405,2.88903203996636,0.00568936657330223,0.0183627107985072,-3.02641647046217,"PSMG1"
"218467_at",-0.0476314166666736,9.1040959,-0.611134664984476,0.543865371265061,0.655078490156722,-6.73573650405578,"PSMG2"
"220362_at",0.0862812499999954,4.9996469,1.55830846348537,0.125436930681444,0.219655098339853,-5.72610269745449,"PSORS1C1"
"220635_at",0.0996068833333297,6.03647538,2.15540052653069,0.0359452404063709,0.0821084358764902,-4.6802664533562,"PSORS1C2"
"218371_s_at",0.0393117333333297,6.63978594,0.412957030149936,0.68139502728838,0.768168607636352,-6.83769244972379,"PSPC1"
"205194_at",0.323971783333331,4.30391592,2.23704056360028,0.0297497777298713,0.0705678408723358,-4.51515404745874,"PSPH"
"221373_x_at",0.0227600499999969,6.02253938,0.611750481377639,0.543461038990125,0.654891409753044,-6.73535895591133,"PSPN"
"201896_s_at",0.0602642499999968,6.2347813,0.656022587280772,0.514802506054153,0.629774594696937,-6.70723600347964,"PSRC1"
"211178_s_at",-0.160070450000003,6.54921518,-2.28821462183247,0.0263667261376414,0.0641058110774755,-4.40910235724862,"PSTPIP1"
"219938_s_at",-0.208354550000002,5.72670352,-2.63803990632634,0.0110713178345591,0.0316812861573751,-3.63366612316699,"PSTPIP2"
"211661_x_at",-0.328236983333341,7.77925156,-4.99772768611658,7.41957516181228e-06,6.96421201898328e-05,3.29537294930077,"PTAFR"
"211270_x_at",0.163097833333333,9.9586824,2.70358602003653,0.00933566194445904,0.0276101316264338,-3.47901166681204,"PTBP1"
"218683_at",0.0648008166666667,6.85034764,0.688930545762108,0.494035958221833,0.611759002892864,-6.68508145011471,"PTBP2"
"207223_s_at",0.225069916666667,5.5596228,2.73923159134845,0.00850031621361582,0.0255548497285485,-3.39372250178136,"PTBP3"
"219658_at",0.238780416666665,6.3933424,2.25747386271569,0.0283553584518333,0.0679464626085394,-4.47304266422323,"PTCD2"
"217895_at",0.0187914499999957,7.82520382,0.249366554382062,0.804093834185689,0.862170287131157,-6.8922933479534,"PTCD3"
"209815_at",-0.884834900000002,6.19886876,-4.76063681906579,1.67536493024104e-05,0.000140610759851454,2.50606400006802,"PTCH1"
"221292_at",0.0436580666666631,6.07737944,1.04650505076186,0.300336077372324,0.424428514211536,-6.37649987232847,"PTCH2"
"215492_x_at",-0.0934273000000019,8.16791072,-2.14707334522891,0.0366368324353485,0.0833990220625485,-4.6968226070148,"PTCRA"
"201433_s_at",0.143761533333333,9.15581382,1.4039361906638,0.166488555146758,0.273467822079847,-5.94730534999908,"PTDSS1"
"221005_s_at",0.0988703166666616,6.60102534,1.39526301331699,0.169073023507845,0.276591599943125,-5.95910387018709,"PTDSS2"
"204054_at",-0.409704899999999,6.21029796,-6.65663083475827,2.02411128994208e-08,4.91856836137179e-07,9.06343587668416,"PTEN"
"217492_s_at",-0.0380214500000022,7.40918638,-0.371432366706798,0.711877164935617,0.79405110208041,-6.85409379699432,"PTEN /// PTENP1"
"218967_s_at",0.5197112,6.21577592,4.51731946234507,3.81536323029476e-05,0.000280658479615875,1.71104015801172,"PTER"
"215894_at",-0.0957386166666661,4.54452538,-2.58376445021775,0.0127267994905836,0.0354843935246088,-3.75955742002424,"PTGDR"
"216464_x_at",0.0682443666666659,4.88317702,1.76094197406693,0.0843328997652711,0.16047737023651,-5.40425149049875,"PTGDR2"
"212187_x_at",-1.90875831666667,10.42012256,-9.45061684118339,9.89435254944974e-13,1.09146464286826e-10,18.8233636319637,"PTGDS"
"214391_x_at",0.0529417999999984,7.84728538,1.48280518674162,0.144371492897246,0.244641062831128,-5.83692968307646,"PTGER1"
"206631_at",-0.382757150000003,5.53472096,-3.70153694366742,0.000532490757637557,0.00257218546551868,-0.811450583060052,"PTGER2"
"211909_x_at",0.0804407666666656,4.11556126,2.32034956397723,0.0244215215462448,0.0602841214816632,-4.34151501179008,"PTGER3"
"204897_at",-2.01232233333334,7.1393855,-8.45308526529344,3.21401985769724e-11,1.98938901358521e-09,15.3998767181935,"PTGER4"
"217158_at",0.0349482499999967,5.8313191,0.563501392681749,0.575599778329904,0.681694916849602,-6.76380343023882,"PTGER4P2-CDK2AP2P2"
"210367_s_at",0.707832349999994,7.34858466,6.3393397598384,6.35896645887969e-08,1.26402185194662e-06,7.94074124964617,"PTGES"
"218083_at",0.199205683333331,7.77520966,3.78727528273989,0.00040792705257807,0.00205652455036134,-0.558558732358849,"PTGES2"
"200627_at",0.0238520166666607,10.11163136,0.248143517937822,0.805034689734214,0.862929959175846,-6.89260031175458,"PTGES3"
"207177_at",-0.132691133333336,4.21555472,-4.1852677963294,0.000114422620429243,0.000709269874492915,0.654944039279282,"PTGFR"
"206187_at",-0.402290950000007,7.35935338,-7.28318748220338,2.10769555733911e-09,7.06252332393797e-08,11.2853225981214,"PTGIR"
"208131_s_at",-0.998690500000001,7.5891267,-5.43619886857407,1.60220986460621e-06,1.9051249953586e-05,4.78615761002614,"PTGIS"
"209944_at",0.109100649999998,8.72692724,1.2785312246384,0.206936195643355,0.322571475867147,-6.1112809310546,"PTGR2 /// ZNF410"
"215813_s_at",-0.289325066666668,6.94586946,-2.91710648828042,0.00526994966068456,0.0172362084674936,-2.95601998129451,"PTGS1"
"204748_at",-1.1158289,8.21570536,-2.7194310519755,0.00895543339092027,0.0266854670031929,-3.44120138042334,"PTGS2"
"206977_at",0.0304345166666646,3.85397026,1.32257815056405,0.191963993689073,0.305058741361689,-6.05531311466026,"PTH"
"205911_at",-0.368189616666665,6.36305598,-6.39098493455494,5.27897817362527e-08,1.07721126962355e-06,8.1231931094116,"PTH1R"
"206772_at",0.0384060333333336,5.41946762,0.837318761382188,0.406378395041608,0.53063754917739,-6.57202082714537,"PTH2R"
"211756_at",0.119402733333332,4.25845584,2.33811256608552,0.0234021688618105,0.0582909153529761,-4.30382986587315,"PTHLH"
"208820_at",0.242626316666668,8.78917084,1.7385194993259,0.088243967317764,0.166413365245577,-5.44158781795512,"PTK2"
"203110_at",-0.284905016666667,7.18204914,-4.03874923796258,0.000183843455603535,0.0010560927355539,0.201020711915564,"PTK2B"
"206482_at",0.804448683333336,5.86963416,6.90553946109311,8.2372227112939e-09,2.28012464193493e-07,9.9460548703363,"PTK6"
"207011_s_at",0.419124766666659,7.88202896,2.8113561045879,0.00701675369825605,0.021840246215706,-3.2186449125899,"PTK7"
"208549_x_at",0.483490349999991,10.48272076,4.98224624625754,7.82752852975914e-06,7.28574846401934e-05,3.24343463678548,"PTMA"
"217166_at",0.310244883333332,5.45739528,4.68881079503813,2.13918710726856e-05,0.000173525687336241,2.26969224894704,"PTMAP1 /// PTMAP1"
"218045_x_at",-0.282727883333333,6.98173722,-3.67243379964965,0.000582527852041397,0.00277123572310812,-0.896549514103205,"PTMS"
"209465_x_at",-0.470414,5.8570005,-4.89184454027811,1.06896639243564e-05,9.573865804921e-05,2.94122723668452,"PTN"
"212032_s_at",0.438607249999999,8.4678385,4.78780519974946,1.5269761484863e-05,0.000129670767975306,2.59582020967745,"PTOV1"
"200732_s_at",-0.541138883333339,9.91531642,-3.23258654338237,0.00216864212463435,0.00825202398620685,-2.13299004820618,"PTP4A1"
"208616_s_at",0.377645733333331,10.66571594,5.7942584939681,4.49535423984465e-07,6.58579740476387e-06,6.0265275344311,"PTP4A2"
"209695_at",0.340720016666668,7.71069566,2.83000990708523,0.0066741040072819,0.020993656069207,-3.17282568845783,"PTP4A3"
"219654_at",-0.942016866666672,6.61758728,-7.54481268571206,8.21674211101226e-10,3.18423764277715e-08,12.2114613637365,"PTPLA"
"217777_s_at",0.336347399999999,7.20311294,3.07653201518832,0.0033854010931826,0.01201033156494,-2.54728266121981,"PTPLAD1"
"212640_at",0.139110733333334,8.13261574,1.07944848110316,0.285542207598085,0.409329221623453,-6.34190949680406,"PTPLB"
"202716_at",-0.511423600000006,8.30601764,-4.28134985187675,8.35404079385405e-05,0.000540671190849404,0.95679420431046,"PTPN1"
"205868_s_at",-0.209114450000001,4.86317378,-4.69428543428929,2.0997936152432e-05,0.000170725500937001,2.28766078268847,"PTPN11"
"216915_s_at",-0.307958233333332,4.97779336,-2.19414233827516,0.0328762800913056,0.0763265419123319,-4.60254322138192,"PTPN12"
"204201_s_at",-0.366865333333334,6.3223645,-1.50079188151516,0.139667462698388,0.23864939162646,-5.81098354788602,"PTPN13"
"205503_at",-0.0870911833333343,4.84329244,-1.6979569327565,0.0957015362132519,0.177296086750906,-5.50805129572029,"PTPN14"
"213521_at",0.181822266666666,8.34537236,2.72954209727541,0.00872030111656697,0.0261002158479386,-3.41698833289129,"PTPN18"
"213136_at",0.146043499999998,8.7070392,1.84674393579461,0.0706773925755922,0.140103579642552,-5.25750072883788,"PTPN2"
